Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
AARTISURF,21,726.94,684,14364,-901.8,-5.91,-0.53
ASIANPAINT,53,2775.38,2929.75,155276.75,8181.75,5.56,-1.53
AUBANK,55,623.95,645,35475,1157.75,3.37,-0.05
AXISBANK,102,982.8,1141.5,116433,16187.4,16.15,-0.73
BAJFINANCE,42,6203.85,6932.8,291177.6,30615.75,11.75,0.75
BANKBARODA,144,262.52,275.75,39708,1904.7,5.04,-1.31
BENARAS,5,5389.61,9565,47825,20876.95,77.47,2.27
CHENNPETRO,61,590.65,1015,61915,25885.45,71.85,0.1
DATAPATTNS,8,2963.17,2892.9,23143.2,-562.15,-2.37,-1.87
DCBBANK,233,135.4,138.6,32293.8,745.6,2.36,-0.75
EQUITASBNK,233,97.6,95,22135,-605.8,-2.66,0.03
FORCEMOT,5,9364.57,9480,47400,577.15,1.23,-0.41
GREENPOWER-BE,160,19.83,20.65,3304,131.2,4.14,-0.24
GSPL,89,297.45,296.95,26428.55,-44.5,-0.17,0.95
HDFCBANK,267,1253.34,1519.6,405733.2,71091.13,21.24,-0.83
ICICIBANK,104,871.87,1142.05,118773.2,28098.8,30.99,0.23
INDHOTEL,102,346.73,570.6,58201.2,22835.25,64.57,-0.96
INDIANB,55,523.8,544,29920,1111,3.86,-1.06
INFY,89,1613.77,1416.45,126064.05,-17561.9,-12.23,0.11
JASCH,36,144.08,216.75,7803,0,0,2
JGTL,24,218.16,665,15960,10724.23,204.83,0.63
JINDALSAW,73,437,575.2,41989.6,10088.55,31.62,3.52
JIOFIN,458,155.78,375.95,172185.1,100836.82,141.33,-0.97
KPITTECH,21,1410.55,1537.25,32282.25,2660.7,8.98,1.66
LTIM,6,4746.66,4651.95,27911.7,-568.25,-2,-0.87
LTTS,5,4698.77,4574,22870,-623.85,-2.66,-1.07
LYKISLTD,200,78.33,47.99,9598,-6068.05,-38.73,-1.98
MAGNAELQ,82,245.79,450,36900,16745.2,83.08,-2.42
MCX,10,3428.25,4009.45,40094.5,5812,16.95,-1.76
NATHBIOGEN,144,198.45,201.8,29059.2,482.15,1.69,-1.15
ORIENTHOT,233,136.3,150,34950,3193,10.05,10.74
PERSISTENT,11,3500.24,3366.85,37035.35,-1467.25,-3.81,-1.2
PFC,55,423.84,480.45,26424.75,3113.6,13.36,2.69
RAYMOND,55,740.84,2227.6,122518,81772,200.69,-2.92
RELIANCE,178,1744.22,2868.5,510593,200121.5,64.46,-2.17
RPOWER,200,29.28,26.8,5360,-496.5,-8.48,-0.56
SHREERAMA-BE,1231,21.61,24.6,30282.6,3680.05,13.83,1.86
SURAJ,140,182.86,666.05,93247,67646.3,264.24,-5
SUZLON,500,45.07,41.37,20685,-1849.03,-8.21,-0.77
TATAELXSI,42,6583.07,7111.75,298693.5,22204.45,8.03,-0.56
TATAMOTORS,55,762.75,1013.8,55759,13807.8,32.91,-1.38
TATAPOWER,351,230.91,454.75,159617.25,78569.25,96.94,-0.68
TCS,89,2813.12,3843.4,342062.6,91695.24,36.62,-0.52
TITAN,49,2128.24,3535.4,173234.6,68950.85,66.12,-0.96
TMB,55,495.58,479.7,26383.5,-873.55,-3.2,-1.09
UJJIVANSFB,521,53.21,54.57,28430.97,706.57,2.55,-1.05
VISAKAIND,200,131.4,107.95,21590,-4690.7,-17.85,-0.14
VOLTAS,21,804.43,1491.5,31321.5,14428.5,85.41,0.64
WARDINMOBI,428,58.82,57.92,24789.76,-387.28,-1.54,-1.66
